nohup: ignoring input
2026-04-04 13:42:51 [INFO] binance_toolkit.collector: 标记价格采集器启动: 获取所有永续合约, interval=60s
2026-04-04 13:43:36 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:45:21 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:47:06 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:48:54 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:50:39 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:52:24 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:54:09 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:55:54 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:57:39 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 13:59:24 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:01:09 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:02:54 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:04:39 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:06:27 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:08:19 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:10:04 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:11:49 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:13:34 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:15:19 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:17:05 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:18:50 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:20:35 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:22:20 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:24:07 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:25:52 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:27:38 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:29:23 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:31:09 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:32:54 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:34:39 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:36:24 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:38:09 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
2026-04-04 14:39:54 [INFO] binance_toolkit.collector: ✓ 采集完成, 共 45 个永续合约
